"Fans","Twitter","Objkts","Editions","First collect","Wallet","Activity"
"1","tz1Ko..fCwVn","","11","11","3/6/21, 13:48","tz1Kosestmh4YDXLbsD6VFoD7ch9tbhfCwVn","Activity"
"2","Leander_Herzog","@lennyjpg","8","8","10/25/21, 03:34","tz1i7fDupvRU8AWoQgPtqJvKivXnyvuvTLYN","Activity"
"3","Boolaroo","@travelingcarter","7","8","12/31/21, 16:47","tz1QSxDeUy6YQZj9Q9HZ5couvThGX8Qu7RzY","Activity"
"4","mogwai_*","@hen_collector","5","7","4/23/21, 12:48","tz1ehhHuAQXrdXukswG2PP7TnptsEfHDxbZK","Activity"
"5","TheWesterner","@starwesterner","5","6","4/23/21, 12:48","tz1P4iM5y89uzQomRZPZ7XFuHV6Uw3b7YTQ9","Activity"
"6","tz1cG..iCmEu","","5","6","9/7/21, 10:47","tz1cGdvL2YBEGi2ekBzeLa1vbeRUKgYiCmEu","Activity"
"7","tz1TA..pjRvH","","5","5","3/6/21, 14:43","tz1TAjHF81yBh6PRU28dgZaHmoG55YypjRvH","Activity"
"8","JulienEspagnon","@Julien_Espagnon","5","5","3/9/21, 13:16","tz1QAevDTqQ92FWh7fXrS6esiFmFgnsEqi1b","Activity"
"9","MdDA","@mdda_gallery","5","5","3/27/21, 15:54","tz1QDunNSnWrqwCc78TqzHP86BMNXq1P7Jxb","Activity"
"10","tz1Lc..2zNFw","","5","5","4/23/21, 12:48","tz1LcYtfaZz9YmqRNFnN6qQKxEHaekf2zNFw","Activity"
"11","satoshi","","5","5","8/11/21, 06:44","tz1ZmRNg15UZVoM1wE89umMiE35Ff4ZAnKqw","Activity"
"12","m(_ _)m","","4","5","3/6/21, 15:01","tz1PG4zwtF6Witq3LuCXC8VUYJsKNHbM9Pqk","Activity"
"13","Javier Gracia Carpio","@jagracar","4","4","3/27/21, 15:54","tz1g6JRCpsEnD2BLiAzPNK3GBD1fKicV9rCx","Activity"
"14","makio135","@makio135","4","4","3/27/21, 15:54","tz2VN3fWzqHE44F6zedJB7UtALKEh5WhqAJJ","Activity"
"15","grasser_alex","@grasser_alex","4","4","4/23/21, 12:48","tz1iZ9yHJzgvC4oBvHsrNmtL8GHPqtwqshAi","Activity"
"16","tz1QC..wzgHq","","4","4","5/24/21, 14:05","tz1QC9QZH8giTj5TewD7ykLBCGR3TmMwzgHq","Activity"
"17","pangolin","","4","4","8/17/21, 15:00","tz1f1pRBJy36ne3s2utezaZb91B6yeaTLjad","Activity"
"18","celadoor","@celad00r","4","4","8/31/21, 15:59","tz1UZGPJtRLsNyYUuYyQU9DSepSF13XxYxFk","Activity"
"19","tz1gx..peBDw","","3","5","9/15/21, 08:14","tz1gxWv9mjfcY3H4W1iH8FVvsSAkErJpeBDw","Activity"
"20","j","","3","5","9/20/21, 10:38","tz1ffdiWq3Uwsptpusv7PZz6gJNZUiZeWt2t","Activity"
"21","tz1U4..HetHK","","3","4","3/9/21, 13:16","tz1U42wqUjyZgz6Vgy9DHm28B2Ev9GTHetHK","Activity"
"22","iceberg","","3","4","4/21/21, 16:49","tz1YuspKsi5mNRcmScsZmGrftfShYgUZGaHQ","Activity"
"23","Patrick Tresset","@patricktresset","3","3","3/9/21, 13:16","tz2WtFZKsUdx3gQzg5JKbvC4NdeDXi6z1SUE","Activity"
"24","sableraph","@sableraph","3","3","3/9/21, 13:16","tz1hfuVWgcJ89ZE75ut9Qroi3y7GFJL5Lf2K","Activity"
"25","DerNadler","@RichardNadler1","3","3","3/9/21, 13:16","tz1Pu8zRmNghAHzWxsT9Cy2qXHxkCrHcB3vc","Activity"
"26","ripze","@_Ripze","3","3","3/9/21, 13:16","tz1MwgPYtc8uccvYgEH4gixazzLLgayRipze","Activity"
"27","cody","@codybales","3","3","3/28/21, 21:27","tz1L7oVDv58oKd6dDrRAgXMhgZbJREvmrMg9","Activity"
"28","ertdfgcvb","@andreasgysin","3","3","4/5/21, 11:49","tz1dEF5ZMTnBSkz2ZQPvpJjwyfeUUyGjeMtf","Activity"
"29","Manfred","@mmantschev","3","3","4/27/21, 16:18","tz1ez6NCePNGbQXdY54y4MdLmjC4o6wZJxSY","Activity"
"30","KellyMilligan","@kellymilligannz","3","3","5/5/21, 11:46","tz1XBAp7qeZ5fWqVnVFzZHuHc455L1xrw841","Activity"
"31","tz1L9..6FWLN","","3","3","9/26/21, 19:29","tz1L9XjPpcPexJEx39JVb5TH8kXfjPW6FWLN","Activity"
"32","crcdng","","3","3","9/27/21, 20:46","tz1RJaJXwrqyjUtWyXqcybX77yUKHj8j3oyL","Activity"
"33","999","","3","3","11/5/21, 19:24","tz1VGZPvqytFVAoSAsM8VrUveJdL3PpVy6K9","Activity"
"34","tz1L2..xXKQo","","2","118","4/23/21, 12:48","tz1L2f5nCgjsfZ1QgwyTyFiuHCdX6CSxXKQo","Activity"
